Datasets,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Accuracy,TrainingTime (seconds),TestingTime (seconds),TotalTime (seconds),TotalFeatures,TotalNodes
Adiac,0.8312,0.8338,0.8389,0.8286,0.821,0.8235,0.8235,0.8261,0.8235,0.8286,0.8279,143.4637829,3.422599363,146.8863823,190.0878,52.191
ArrowHead,0.6686,0.6514,0.7429,0.6743,0.6629,0.6514,0.6629,0.6857,0.6914,0.6571,0.6749,33.99814162,0.861441791,34.85958341,208.857,3.3836
Beef,0.8,0.8333,0.8,0.8667,0.8667,0.8667,0.8667,0.8,0.8667,0.8333,0.84,43.63927205,0.965066586,44.60433864,245.0726,3.9712
BeetleFly,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,36.61969515,0.835853894,37.45554904,250.7598,1.5792
BirdChicken,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,36.66139736,0.862885015,37.52428237,251.227,1.5
Car,0.85,0.8333,0.8,0.8167,0.8167,0.8,0.8,0.8,0.8333,0.8,0.815,50.40346233,1.12878243,51.53224476,259.249,5.5
CBF,0.98,0.98,0.9822,0.9789,0.9778,0.98,0.9789,0.9767,0.9744,0.9811,0.979,26.99019836,1.016229783,28.00642815,170.3176,2.5106
ChlorineConcentration,0.7818,0.7745,0.7768,0.781,0.7776,0.7794,0.7716,0.7922,0.794,0.7753,0.7804,80.17654368,10.53481138,90.71135507,187.81,45.421
CinCECGTorso,0.987,0.9783,0.9616,0.9957,0.9928,0.9696,0.9949,0.9862,0.9906,0.992,0.9849,67.47184045,4.416334136,71.88817458,319.7352,3.5468
Coffee,1,1,1,1,1,1,1,1,1,1,1,32.021157,0.728275898,32.7494329,217.8594,1.5016
Computers,0.752,0.748,0.76,0.764,0.756,0.756,0.756,0.752,0.756,0.76,0.756,82.98443769,1.804056659,84.78849435,272.1186,13.5002
CricketX,0.6667,0.6795,0.6897,0.7077,0.6769,0.6846,0.6795,0.6923,0.6718,0.6846,0.6833,110.5308924,3.794058439,114.3249509,222.5984,41.2322
CricketY,0.7538,0.741,0.7436,0.7462,0.7538,0.7359,0.7513,0.7513,0.7513,0.7487,0.7477,108.3543113,3.781560596,112.1358719,221.8574,42.2578
CricketZ,0.7179,0.7205,0.7205,0.7282,0.7205,0.7359,0.7256,0.7179,0.7128,0.7179,0.7218,110.8658669,3.948176195,114.8140431,222.5364,41.2662
DiatomSizeReduction,0.9542,0.9739,0.9739,0.9706,0.9673,0.9706,0.9608,0.9804,0.9608,0.951,0.9663,37.17318717,0.942381574,38.11556875,229.1966,2.45
DistalPhalanxOutlineAgeGroup,0.705,0.7482,0.7266,0.7338,0.7338,0.7194,0.7122,0.7266,0.7482,0.7266,0.7281,41.31627617,1.353619224,42.66989539,144.86,18.6386
DistalPhalanxOutlineCorrect,0.7935,0.7899,0.7899,0.7899,0.7935,0.7971,0.7754,0.779,0.7826,0.7935,0.7884,48.61100785,1.870402532,50.48141038,144.28,28.8502
DistalPhalanxTW,0.6978,0.6691,0.6547,0.6906,0.6835,0.6906,0.6763,0.6978,0.6763,0.6906,0.6827,50.78101724,1.680161312,52.46117855,145.176,28.8622
Earthquakes,0.7482,0.7626,0.777,0.7698,0.777,0.7842,0.7842,0.777,0.7698,0.741,0.7691,106.4685895,1.775001554,108.2435911,251.9734,19.5182
