Datasets,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Accuracy,TrainingTime (seconds),TestingTime (seconds),TotalTime (seconds),TotalFeatures,TotalNodes
Adiac,0.831202046,0.833759591,0.83887468,0.828644501,0.820971867,0.823529412,0.823529412,0.826086957,0.823529412,0.828644501,0.827877238,143.4637829,3.422599363,146.8863823,190.0878,52.191
ArrowHead,0.668571429,0.651428571,0.742857143,0.674285714,0.662857143,0.651428571,0.662857143,0.685714286,0.691428571,0.657142857,0.674857143,33.99814162,0.861441791,34.85958341,208.857,3.3836
Beef,0.8,0.833333333,0.8,0.866666667,0.866666667,0.866666667,0.866666667,0.8,0.866666667,0.833333333,0.84,43.63927205,0.965066586,44.60433864,245.0726,3.9712
BeetleFly,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,36.61969515,0.835853894,37.45554904,250.7598,1.5792
BirdChicken,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,36.66139736,0.862885015,37.52428237,251.227,1.5
Car,0.85,0.833333333,0.8,0.816666667,0.816666667,0.8,0.8,0.8,0.833333333,0.8,0.815,50.40346233,1.12878243,51.53224476,259.249,5.5
CBF,0.98,0.98,0.982222222,0.978888889,0.977777778,0.98,0.978888889,0.976666667,0.974444444,0.981111111,0.979,26.99019836,1.016229783,28.00642815,170.3176,2.5106
ChlorineConcentration,0.781770833,0.774479167,0.776822917,0.780989583,0.777604167,0.779427083,0.771614583,0.7921875,0.794010417,0.775260417,0.780416667,80.17654368,10.53481138,90.71135507,187.81,45.421
CinCECGTorso,0.986956522,0.97826087,0.961594203,0.995652174,0.992753623,0.969565217,0.994927536,0.986231884,0.99057971,0.992028986,0.984855072,67.47184045,4.416334136,71.88817458,319.7352,3.5468
Coffee,1,1,1,1,1,1,1,1,1,1,1,32.021157,0.728275898,32.7494329,217.8594,1.5016
Computers,0.752,0.748,0.76,0.764,0.756,0.756,0.756,0.752,0.756,0.76,0.756,82.98443769,1.804056659,84.78849435,272.1186,13.5002
CricketX,0.666666667,0.679487179,0.68974359,0.707692308,0.676923077,0.684615385,0.679487179,0.692307692,0.671794872,0.684615385,0.683333333,110.5308924,3.794058439,114.3249509,222.5984,41.2322
CricketY,0.753846154,0.741025641,0.743589744,0.746153846,0.753846154,0.735897436,0.751282051,0.751282051,0.751282051,0.748717949,0.747692308,108.3543113,3.781560596,112.1358719,221.8574,42.2578
CricketZ,0.717948718,0.720512821,0.720512821,0.728205128,0.720512821,0.735897436,0.725641026,0.717948718,0.712820513,0.717948718,0.721794872,110.8658669,3.948176195,114.8140431,222.5364,41.2662
DiatomSizeReduction,0.954248366,0.973856209,0.973856209,0.970588235,0.967320261,0.970588235,0.960784314,0.980392157,0.960784314,0.950980392,0.966339869,37.17318717,0.942381574,38.11556875,229.1966,2.45
DistalPhalanxOutlineAgeGroup,0.705035971,0.748201439,0.726618705,0.73381295,0.73381295,0.71942446,0.712230216,0.726618705,0.748201439,0.726618705,0.728057554,41.31627617,1.353619224,42.66989539,144.86,18.6386
DistalPhalanxOutlineCorrect,0.793478261,0.789855072,0.789855072,0.789855072,0.793478261,0.797101449,0.775362319,0.778985507,0.782608696,0.793478261,0.788405797,48.61100785,1.870402532,50.48141038,144.28,28.8502
DistalPhalanxTW,0.697841727,0.669064748,0.654676259,0.690647482,0.683453237,0.690647482,0.676258993,0.697841727,0.676258993,0.690647482,0.682733813,50.78101724,1.680161312,52.46117855,145.176,28.8622
Earthquakes,0.748201439,0.762589928,0.776978417,0.769784173,0.776978417,0.784172662,0.784172662,0.776978417,0.769784173,0.741007194,0.769064748,106.4685895,1.775001554,108.2435911,251.9734,19.5182
ECG200,0.89,0.88,0.85,0.88,0.88,0.88,0.9,0.89,0.87,0.88,0.88,32.34324795,0.861995564,33.20524352,154.3474,4.8966
ECG5000,0.942666667,0.942666667,0.942222222,0.942,0.943333333,0.941777778,0.942666667,0.941111111,0.941555556,0.941111111,0.942111111,78.46290863,6.747842479,85.21075111,177.1774,16.9906
ECGFiveDays,0.981416957,0.972125436,0.980255517,0.979094077,0.973286876,0.982578397,0.979094077,0.981416957,0.973286876,0.974448316,0.977700348,29.92976898,1.18408783,31.11385681,174.3886,1.5434
ElectricDevices,0.742056802,0.73881468,0.743353651,0.741019323,0.738036571,0.73959279,0.742834911,0.742186487,0.738684995,0.739852159,0.740643237,777.8389829,35.65229111,813.491274,156.032,478.884
FaceAll,0.787573964,0.789940828,0.790532544,0.779881657,0.788757396,0.792899408,0.79112426,0.789349112,0.788757396,0.786390533,0.78852071,106.1805116,5.266328164,111.4468397,172.431,40.4378
FaceFour,0.977272727,0.977272727,0.988636364,0.977272727,0.977272727,0.977272727,0.977272727,0.965909091,0.977272727,0.977272727,0.977272727,43.37080679,1.016605034,44.38741182,229.7516,3.4294
FacesUCR,0.894634146,0.885853659,0.885365854,0.883414634,0.88,0.887804878,0.883414634,0.88097561,0.888292683,0.888780488,0.885853659,70.52901016,4.501654631,75.03066479,172.6756,21.534
FiftyWords,0.753846154,0.767032967,0.78021978,0.775824176,0.773626374,0.769230769,0.771428571,0.773626374,0.78021978,0.76043956,0.770549451,270.467961,4.99481632,275.4627773,214.4226,69.8398
Fish,0.902857143,0.902857143,0.908571429,0.902857143,0.897142857,0.92,0.902857143,0.891428571,0.908571429,0.897142857,0.903428571,75.23615421,1.775271416,77.01142563,244.487,14.0086
FordA,0.965151515,0.965909091,0.962121212,0.959848485,0.964393939,0.963636364,0.962121212,0.963636364,0.962121212,0.961363636,0.963030303,649.3199716,12.41300968,661.7329813,249.9608,66.9912
FordB,0.795061728,0.792592593,0.796296296,0.795061728,0.796296296,0.797530864,0.79382716,0.791358025,0.787654321,0.796296296,0.794197531,671.7911154,11.76785368,683.5589691,250.0586,89.6076
GunPoint,0.906666667,0.926666667,0.933333333,0.933333333,0.913333333,0.92,0.913333333,0.92,0.913333333,0.92,0.92,28.68705518,0.780331647,29.46738683,180.2228,2.495
Ham,0.714285714,0.742857143,0.752380952,0.704761905,0.752380952,0.752380952,0.733333333,0.761904762,0.733333333,0.733333333,0.738095238,49.76067188,1.1419789,50.90265078,239.9914,6.138
HandOutlines,0.918918919,0.924324324,0.916216216,0.916216216,0.916216216,0.921621622,0.921621622,0.924324324,0.924324324,0.918918919,0.92027027,932.6143805,8.322378007,940.9367585,350.998,33.09
Haptics,0.50974026,0.506493506,0.519480519,0.503246753,0.522727273,0.49025974,0.496753247,0.493506494,0.525974026,0.506493506,0.507467532,100.9635227,3.113853375,104.0773761,296.948,17.3962
Herring,0.59375,0.71875,0.625,0.625,0.59375,0.609375,0.640625,0.65625,0.625,0.609375,0.6296875,45.87149908,1.088062402,46.95956148,250.5378,4.7952
InlineSkate,0.550909091,0.554545455,0.536363636,0.563636364,0.556363636,0.558181818,0.556363636,0.576363636,0.547272727,0.547272727,0.554727273,115.8393929,4.874763686,120.7141566,328.289,12.9004
InsectWingbeatSound,0.667676768,0.666666667,0.664141414,0.665656566,0.665151515,0.666666667,0.664646465,0.668686869,0.667171717,0.65959596,0.665606061,82.62898838,5.990744169,88.61973255,210.9086,24.0218
ItalyPowerDemand,0.969873664,0.969873664,0.969873664,0.970845481,0.969873664,0.970845481,0.968901846,0.970845481,0.969873664,0.970845481,0.970165209,17.1602543,0.706479245,17.86673354,78.3298,2.1688
LargeKitchenAppliances,0.789333333,0.792,0.792,0.8,0.784,0.8,0.789333333,0.794666667,0.805333333,0.792,0.793866667,163.7412573,4.155531641,167.896789,271.6664,22.4544
Lightning2,0.721311475,0.721311475,0.68852459,0.721311475,0.754098361,0.737704918,0.721311475,0.704918033,0.737704918,0.737704918,0.724590164,69.20679446,1.631699909,70.83849437,264.6606,3.952
Lightning7,0.780821918,0.780821918,0.767123288,0.767123288,0.767123288,0.767123288,0.767123288,0.780821918,0.767123288,0.753424658,0.769863014,57.93338578,1.350526315,59.28391209,225.0646,8.474
Mallat,0.970575693,0.967164179,0.969296375,0.966311301,0.969722814,0.969722814,0.969296375,0.967590618,0.967590618,0.970575693,0.968784648,94.57064859,11.04098849,105.6116371,292.4954,7.296
Meat,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.9,0.933333333,0.933333333,0.933333333,0.95,0.931666667,44.87895103,0.920006762,45.79895779,242.072,2.572
MedicalImages,0.785526316,0.778947368,0.792105263,0.790789474,0.793421053,0.781578947,0.785526316,0.775,0.785526316,0.790789474,0.785921053,71.62261478,3.094453149,74.71706793,154.8994,37.632
MiddlePhalanxOutlineAgeGroup,0.564935065,0.564935065,0.558441558,0.558441558,0.577922078,0.564935065,0.571428571,0.577922078,0.577922078,0.564935065,0.568181818,45.97114913,1.775085838,47.74623497,145.5188,23.5354
MiddlePhalanxOutlineCorrect,0.835051546,0.81443299,0.824742268,0.835051546,0.81443299,0.81443299,0.828178694,0.83161512,0.810996564,0.817869416,0.822680412,52.68723865,2.09456456,54.78180321,144.5364,33.6382
MiddlePhalanxTW,0.61038961,0.597402597,0.61038961,0.603896104,0.590909091,0.538961039,0.538961039,0.597402597,0.61038961,0.590909091,0.588961039,63.87184387,2.479814918,66.35165879,145.0406,41.6334
MoteStrain,0.924920128,0.930511182,0.920926518,0.92971246,0.926517572,0.918530351,0.923322684,0.927316294,0.913738019,0.920926518,0.923642173,26.32691639,1.04364971,27.3705661,147.9104,1.5254
NonInvasiveFetalECGThorax1,0.93129771,0.937913486,0.930788804,0.93129771,0.930788804,0.93129771,0.933842239,0.930788804,0.935877863,0.933333333,0.932722646,852.4658899,30.71289354,883.1787834,275.8914,110.2408
NonInvasiveFetalECGThorax2,0.939949109,0.939440204,0.939949109,0.939440204,0.940966921,0.941475827,0.941475827,0.942493639,0.941475827,0.939440204,0.940610687,836.375573,25.92807932,862.3036523,275.3214,96.4166
OliveOil,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,51.14155305,1.066259679,52.20781273,258.1714,3.5142
OSULeaf,0.809917355,0.772727273,0.801652893,0.797520661,0.801652893,0.809917355,0.801652893,0.79338843,0.805785124,0.789256198,0.798347107,79.16087624,2.317321448,81.47819769,240.3796,16.4408
PhalangesOutlinesCorrect,0.828671329,0.84032634,0.832167832,0.836829837,0.831002331,0.831002331,0.835664336,0.832167832,0.824009324,0.825174825,0.831701632,144.2060038,5.605035,149.8110388,144.0576,98.9608
Phoneme,0.325421941,0.320147679,0.326476793,0.332805907,0.316983122,0.324367089,0.322257384,0.324367089,0.33649789,0.322257384,0.325158228,256.8725322,23.48291331,280.3554455,292.1866,43.6706
Plane,1,1,1,1,1,1,1,1,1,1,1,41.31658197,0.918824301,42.23540627,177.832,6.5058
ProximalPhalanxOutlineAgeGroup,0.848780488,0.83902439,0.848780488,0.848780488,0.83902439,0.843902439,0.848780488,0.843902439,0.83902439,0.843902439,0.844390244,42.58567561,1.545699437,44.13137505,145.2896,18.4818
ProximalPhalanxOutlineCorrect,0.914089347,0.896907216,0.896907216,0.914089347,0.903780069,0.907216495,0.907216495,0.907216495,0.903780069,0.900343643,0.905154639,50.13643048,1.81687131,51.95330179,145.2448,29.4212
ProximalPhalanxTW,0.76097561,0.765853659,0.765853659,0.770731707,0.76097561,0.756097561,0.770731707,0.780487805,0.76097561,0.756097561,0.764878049,49.47608508,1.573936166,51.05002125,145.7492,25.2002
RefrigerationDevices,0.578666667,0.584,0.576,0.589333333,0.584,0.568,0.589333333,0.578666667,0.576,0.578666667,0.580266667,117.4643294,3.497853125,120.9621825,272.041,26.9852
ScreenType,0.525333333,0.528,0.538666667,0.536,0.544,0.517333333,0.538666667,0.536,0.536,0.533333333,0.533333333,115.4787584,3.434446685,118.9132051,271.7544,33.5154
ShapeletSim,0.983333333,0.977777778,0.983333333,0.983333333,0.983333333,0.988888889,0.983333333,0.983333333,0.983333333,0.983333333,0.983333333,36.23627258,0.849880332,37.08615292,249.5238,1.5192
ShapesAll,0.851666667,0.861666667,0.861666667,0.85,0.843333333,0.85,0.853333333,0.848333333,0.85,0.851666667,0.852166667,362.6628642,8.087336065,370.7502002,252.3664,77.7134
SmallKitchenAppliances,0.829333333,0.832,0.829333333,0.837333333,0.845333333,0.832,0.832,0.837333333,0.837333333,0.832,0.8344,106.5575465,2.507656751,109.0652033,272.4152,21.6732
SonyAIBORobotSurface1,0.916805324,0.921797005,0.911813644,0.93344426,0.923460899,0.906821963,0.90515807,0.880199667,0.875207987,0.891846922,0.906655574,20.16832865,0.644865703,20.81319435,136.6804,1.5178
SonyAIBORobotSurface2,0.836306401,0.831059811,0.809024134,0.839454355,0.840503673,0.836306401,0.841552991,0.830010493,0.831059811,0.830010493,0.832528856,20.03562454,0.703907642,20.73953219,132.4154,1.7646
StarLightCurves,0.978266149,0.978630403,0.978023312,0.97753764,0.978751821,0.978994658,0.978508985,0.978630403,0.97814473,0.978266149,0.978375425,352.1092872,59.95541277,412.0647,293.3822,16.4602
Strawberry,0.962162162,0.967567568,0.962162162,0.964864865,0.964864865,0.967567568,0.962162162,0.959459459,0.962162162,0.964864865,0.963783784,78.33075154,1.51450599,79.84525753,204.4766,11.6294
SwedishLeaf,0.9408,0.9376,0.944,0.944,0.9424,0.936,0.9456,0.9424,0.944,0.952,0.94288,88.65620285,2.581647687,91.23785054,171.706,32.991
Symbols,0.881407035,0.891457286,0.875376884,0.874371859,0.886432161,0.883417085,0.88241206,0.87839196,0.892462312,0.893467337,0.883919598,43.68538985,1.701949466,45.38733931,235.0396,4.0956
SyntheticControl,0.99,0.993333333,0.99,0.99,0.993333333,0.993333333,0.986666667,0.99,0.99,0.986666667,0.990333333,34.95545598,0.81286142,35.7683174,128.573,9.3356
ToeSegmentation1,0.842105263,0.859649123,0.864035088,0.828947368,0.864035088,0.842105263,0.828947368,0.846491228,0.846491228,0.820175439,0.844298246,33.49953777,0.954805079,34.45434284,215.6212,3.069
