Datasets,# classes,# train,# test,length,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF,,,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF
Adiac,37,390,391,176,,0.6087,0.7315,0.7801,0.7647,0.8440,0.8290,0.8107,0.7340,0.7980,0.8279,,,,10,9,6,7,1,2,4,8,5,3
ArrowHead,3,36,175,251,,0.8000,0.7257,0.7943,0.8343,0.8430,0.8450,0.8629,0.8754,0.8327,0.6749,,,,7,9,8,5,4,3,2,1,6,10
Beef,5,30,30,470,,0.6667,0.7667,0.8333,0.8000,0.6970,0.7530,0.9333,0.7200,0.7061,0.8400,,,,10,5,3,4,9,6,1,7,8,2
BeetleFly,2,20,20,512,,0.6500,0.7500,0.7500,0.9000,0.8600,0.8500,0.9500,0.8750,0.9136,0.9400,,,,10,8.5,8.5,4,6,7,1,5,3,2
BirdChicken,2,20,20,512,,0.7000,0.8000,0.9500,0.9500,0.9550,0.8850,0.8500,0.8650,0.9091,0.9000,,,,10,9,2.5,2.5,1,6,8,7,4,5
Car,4,60,60,577,,0.7667,0.7667,0.8000,0.8333,0.9040,0.9250,0.8667,0.8467,0.8545,0.8150,,,,9,10,8,6,2,1,3,5,4,7
CBF,3,30,900,128,,0.9944,0.9944,0.9511,0.9978,0.9940,0.9950,0.9989,0.9933,0.9979,0.9790,,,,6,5,10,3,7,4,1,8,2,9
ChlorineConcentration,3,467,3840,166,,0.6500,0.7198,0.7685,0.6609,0.8140,0.8440,0.7120,0.6339,0.7167,0.7804,,,,9,5,4,8,2,1,7,10,6,3
CinCECGTorso,4,40,1380,1639,,0.9304,0.9826,0.9862,0.8870,0.8240,0.8260,0.9964,0.9343,0.9832,0.9849,,,,7,5,2,8,10,9,1,6,4,3
Coffee,2,28,28,286,,1.0000,0.9643,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,5,10,5,5,5,5,5,5,5,5
Computers,2,250,250,720,,0.6240,0.7200,0.7640,0.7560,0.8220,0.8150,0.7600,0.6444,0.7051,0.7560,,,,10,7,3,5.5,1,2,4,9,8,5.5
CricketX,12,390,390,300,,0.7795,0.6641,0.6974,0.7359,0.7920,0.7910,0.8231,0.8021,0.8138,0.6833,,,,6,10,8,7,4,5,1,3,2,9
CricketY,12,390,390,300,,0.7564,0.6718,0.7179,0.7538,0.7870,0.8030,0.8487,0.7938,0.8019,0.7477,,,,6,10,9,7,5,2,1,4,3,8
CricketZ,12,390,390,300,,0.7359,0.6718,0.7051,0.7462,0.8110,0.8120,0.8308,0.8010,0.8340,0.7218,,,,7,10,9,6,4,3,2,5,1,8
DiatomSizeReduction,4,16,306,345,,0.9346,0.9314,0.9281,0.9314,0.3130,0.3010,0.9412,0.9657,0.9730,0.9663,,,,5,6.5,8,6.5,9,10,4,3,1,2
DistalPhalanxOutlineAgeGroup,3,400,139,80,,0.6259,0.7482,0.7626,0.7482,0.7100,0.7170,0.7626,0.7309,0.7462,0.7281,,,,10,3.5,1.5,3.5,9,8,1.5,6,5,7
DistalPhalanxOutlineCorrect,2,600,276,80,,0.7246,0.7717,0.7754,0.7283,0.7600,0.7710,0.7717,0.7928,0.7823,0.7884,,,,10,5.5,4,9,8,7,5.5,1,3,2
DistalPhalanxTW,6,400,139,80,,0.6331,0.6691,0.6763,0.6763,0.6900,0.6650,0.6835,0.6597,0.6704,0.6827,,,,10,7,4.5,4.5,1,8,2,9,6,3
Earthquakes,2,322,139,512,,0.7266,0.7482,0.7482,0.7482,0.7270,0.7120,0.7482,0.7540,0.7482,0.7691,,,,9,4.5,4.5,4.5,8,10,4.5,2,7,1
ECG200,2,100,100,96,,0.8800,0.8700,0.8800,0.8700,0.8890,0.8740,0.8500,0.9090,0.8618,0.8800,,,,4,7.5,4,7.5,2,6,10,1,9,4
ECG5000,5,500,4500,140,,0.9251,0.9389,0.9369,0.9413,0.9400,0.9340,0.9462,0.9365,0.9454,0.9421,,,,10,6,7,4,5,9,1,8,2,3
ECGFiveDays,2,23,861,136,,0.7967,0.9559,0.9988,1.0000,0.9870,0.9750,1.0000,0.8492,1.0000,0.9777,,,,10,8,4,2,5,7,2,9,2,6
ElectricDevices,7,8926,7711,96,,0.6308,0.6925,0.6635,0.7992,0.7020,0.7290,0.7703,0.7060,0.7553,0.7406,,,,10,8,9,1,7,5,2,6,3,4
FaceAll,14,560,1690,131,,0.8077,0.7515,0.7615,0.7817,0.9450,0.8390,0.8030,0.8938,0.8414,0.7885,,,,5,10,9,8,1,4,6,2,3,7
FaceFour,4,24,88,350,,0.8977,0.9318,0.8977,1.0000,0.9280,0.9550,0.9545,0.9739,1.0000,0.9773,,,,10,7,9,1.5,8,5,6,4,1.5,3
FacesUCR,14,200,2050,131,,0.9078,0.8834,0.8751,0.9571,0.9460,0.9550,0.9629,0.9459,0.9663,0.8859,,,,7,9,10,3,5,4,2,6,1,8
FiftyWords,50,450,450,270,,0.7648,0.7407,0.6923,0.7055,0.6790,0.7270,0.8088,0.8314,0.8450,0.7705,,,,5,6,9,8,10,7,3,2,1,4
Fish,7,175,175,463,,0.8343,0.7943,0.8457,0.9886,0.9580,0.9790,0.9886,0.9349,0.9943,0.9034,,,,9,10,8,2.5,5,4,2.5,6,1,7
FordA,2,3601,1320,500,,0.6652,0.8152,0.9409,0.9295,0.9040,0.9200,0.9644,0.8546,0.9410,0.9630,,,,10,9,4,5,7,6,1,8,3,2
FordB,2,3636,810,500,,0.5988,0.6877,0.8111,0.8200,0.8780,0.9130,0.8235,0.7149,0.8296,0.7942,,,,10,9,6,5,2,1,4,8,3,7
GunPoint,2,50,150,150,,0.9133,0.9733,0.9800,1.0000,1.0000,0.9910,1.0000,0.9973,1.0000,0.9200,,,,10,8,7,2.5,2.5,6,2.5,5,2.5,9
Ham,2,109,105,431,,0.6000,0.7429,0.6857,0.6667,0.7180,0.7570,0.6667,0.6600,0.7152,0.7381,,,,10,2,6,7.5,4,1,7.5,9,5,3
HandOutlines,2,1000,370,2709,,0.8784,0.9189,0.8838,0.9110,0.8060,0.9110,0.9324,0.9214,0.9322,0.9203,,,,9,5,8,6.5,10,6.5,1,3,2,4
